Year,Month,ENSO,NAO
1951,1,2.5,0.08
1952,1,-1.5,0.93
1953,1,0.5,0.33
1954,1,1.1,0.37
1955,1,-0.9,-1.84
1956,1,2.2,-0.22
1957,1,1.0,1.05
1958,1,-3.1,-0.54
1959,1,-1.5,-0.87
1960,1,0.2,-1.29
1961,1,-0.4,0.41
1962,1,3.3,0.61
1963,1,1.7,-2.12
1964,1,-0.6,-0.95
1965,1,-0.7,-0.12
1966,1,-2.2,-1.74
1967,1,2.8,-0.89
1968,1,0.9,0.13
1969,1,-2.4,-0.83
1970,1,-1.9,-1.5
1971,1,0.6,-1.13
1972,1,0.8,0.27
1973,1,-0.5,0.04
1974,1,4.0,1.34
1975,1,-0.8,0.58
1976,1,2.3,-0.25
1977,1,-0.7,-1.04
1978,1,-0.5,0.66
1979,1,-0.7,-1.38
1980,1,0.7,-0.75
1981,1,0.6,0.37
1982,1,2.0,-0.89
1983,1,-5.8,1.59
1984,1,0.3,1.66
1985,1,-0.5,-1.61
1986,1,1.6,1.11
1987,1,-1.1,-1.15
1988,1,-0.2,1.02
1989,1,2.5,1.17
1990,1,-0.1,1.04
1991,1,1.0,0.86
1992,1,-4.7,-0.13
1993,1,-1.5,1.6
1994,1,-0.2,1.04
1995,1,-0.7,0.93
1996,1,1.6,-0.12
1997,1,0.8,-0.49
1998,1,-4.4,0.39
1999,1,3.0,0.77
2000,1,1.1,0.6
2001,1,1.6,0.25
2002,1,0.7,0.44
2003,1,-0.3,0.16
2004,1,-2.2,-0.29
2005,1,0.6,1.52
2006,1,2.7,1.27
2007,1,-1.3,0.22
2008,1,2.9,0.89
2009,1,1.8,-0.01
2010,1,-1.8,-1.11
2011,1,3.8,-0.88
2012,1,1.8,1.17
2013,1,-0.1,0.35
2014,1,2.4,0.29
2015,1,-1.4,1.79
2016,1,-3.6,0.12
2017,1,0.3,0.48
2018,1,1.8,1.44
2019,1,-0.1,0.59
2020,1,0.3,1.34
2021,1,3.2,-1.11
2022,1,0.8,1.08
2023,1,2.3,1.25
2024,1,0.8,0.21
2025,1,0.3,-0.52
1951,2,1.5,0.7
1952,2,-1.0,-0.83
1953,2,-0.8,-0.49
1954,2,-0.5,0.74
1955,2,3.1,-1.12
1956,2,2.7,-1.12
1957,2,-0.1,0.11
1958,2,-0.8,-1.06
1959,2,-2.3,0.68
1960,2,0.2,-1.89
1961,2,1.5,0.45
1962,2,-0.5,0.55
1963,2,0.9,-0.96
1964,2,0.1,-1.43
1965,2,0.7,-1.55
1966,2,-0.4,-1.39
1967,2,2.8,0.19
1968,2,2.1,-1.29
1969,2,-0.9,-1.55
1970,2,-1.7,0.64
1971,2,3.3,0.24
1972,2,1.8,0.32
1973,2,-2.3,0.85
1974,2,3.4,-0.14
1975,2,1.3,-0.62
1976,2,2.8,0.93
1977,2,2.0,-0.49
1978,2,-4.4,-2.2
1979,2,1.6,-0.67
1980,2,0.5,0.05
1981,2,-0.3,0.92
1982,2,0.4,1.15
1983,2,-6.0,-0.53
1984,2,1.4,0.72
1985,2,2.0,-0.49
1986,2,-1.7,-1.0
1987,2,-2.1,-0.73
1988,2,-0.6,0.76
1989,2,2.0,2.0
1990,2,-3.0,1.41
1991,2,0.4,1.04
1992,2,-1.5,1.07
1993,2,-1.2,0.5
1994,2,0.4,0.46
1995,2,-0.2,1.14
1996,2,0.4,-0.07
1997,2,2.9,1.7
1998,2,-3.4,-0.11
1999,2,1.6,0.29
2000,2,2.7,1.7
2001,2,2.8,0.45
2002,2,1.8,1.1
2003,2,-1.1,0.62
2004,2,2.0,-0.14
2005,2,-5.2,-0.06
2006,2,0.2,-0.51
2007,2,-0.1,-0.47
2008,2,4.4,0.73
2009,2,3.1,0.06
2010,2,-2.4,-1.98
2011,2,4.5,0.7
2012,2,0.8,0.42
2013,2,-0.4,-0.45
2014,2,0.1,1.34
2015,2,0.4,1.32
2016,2,-3.2,1.58
2017,2,-0.1,1.0
2018,2,-0.8,1.58
2019,2,-2.3,0.29
2020,2,-0.1,1.26
2021,2,2.5,0.14
2022,2,1.8,1.68
2023,2,2.3,0.92
2024,2,-2.3,1.09
2025,2,0.9,1.6
1951,3,-0.2,-1.02
1952,3,0.9,-1.49
1953,3,-0.3,-0.04
1954,3,0.4,-0.83
1955,3,1.1,-0.53
1956,3,2.2,-0.05
1957,3,0.3,-1.26
1958,3,0.4,-1.96
1959,3,2.1,-0.15
1960,3,1.7,-0.5
1961,3,-3.0,0.55
1962,3,0.2,-2.47
1963,3,1.9,-0.43
1964,3,1.9,-1.2
1965,3,1.2,-1.51
1966,3,-1.5,0.56
1967,3,2.0,1.51
1968,3,0.2,0.4
1969,3,0.7,-1.56
1970,3,1.0,-0.96
1971,3,3.8,-0.84
1972,3,1.1,0.72
1973,3,1.2,0.3
1974,3,4.0,-0.03
1975,3,2.6,-0.61
1976,3,2.9,0.75
1977,3,-0.9,-0.81
1978,3,-0.3,0.7
1979,3,0.2,0.78
1980,3,-0.7,-0.31
1981,3,-2.1,-1.19
1982,3,1.0,1.15
1983,3,-4.0,0.95
1984,3,-0.4,-0.37
1985,3,1.3,0.2
1986,3,0.8,1.71
1987,3,-2.1,0.14
1988,3,1.1,-0.17
1989,3,1.8,1.85
1990,3,-0.7,1.46
1991,3,-1.1,-0.2
1992,3,-3.3,0.87
1993,3,-0.8,0.67
1994,3,-1.1,1.26
1995,3,1.2,1.25
1996,3,1.9,-0.24
1997,3,-0.7,1.46
1998,3,-4.0,0.87
1999,3,2.1,0.23
2000,3,2.2,0.77
2001,3,1.5,-1.26
2002,3,-0.4,0.69
2003,3,-0.5,0.32
2004,3,0.7,1.02
2005,3,0.5,-1.83
2006,3,2.9,-1.28
2007,3,0.3,1.44
2008,3,2.4,0.08
2009,3,0.7,0.57
2010,3,-1.1,-0.88
2011,3,4.2,0.61
2012,3,1.2,1.27
2013,3,2.5,-1.61
2014,3,-1.5,0.8
2015,3,-1.2,1.45
2016,3,-0.1,0.73
2017,3,1.5,0.74
2018,3,2.4,-0.93
2019,3,-0.5,1.23
2020,3,-0.2,1.01
2021,3,0.6,0.73
2022,3,2.9,0.77
2023,3,0.3,-1.11
2024,3,0.6,-0.21
2025,3,2.8,0.3
1951,4,-0.5,-0.22
1952,4,-0.4,1.01
1953,4,0.3,-1.67
1954,4,1.1,1.34
1955,4,-0.2,-0.42
1956,4,1.5,-1.06
1957,4,0.4,0.49
1958,4,0.6,0.37
1959,4,0.7,0.36
1960,4,1.3,1.36
1961,4,1.3,-1.55
1962,4,0.3,0.99
1963,4,1.3,-1.35
1964,4,1.8,0.36
1965,4,-0.9,0.72
1966,4,-0.3,-0.75
1967,4,-0.1,0.18
1968,4,0.0,-1.08
1969,4,-0.6,1.53
1970,4,-0.1,-1.3
1971,4,2.8,-0.24
1972,4,-0.2,-0.22
1973,4,0.1,-0.54
1974,4,1.6,0.51
1975,4,1.9,-1.6
1976,4,0.5,0.26
1977,4,-0.7,0.65
1978,4,-0.5,-1.17
1979,4,-0.2,-1.71
1980,4,-1.0,1.29
1981,4,-0.2,0.36
1982,4,0.1,0.1
1983,4,-1.5,-0.85
1984,4,0.6,-0.28
1985,4,1.9,0.32
1986,4,0.5,-0.59
1987,4,-2.3,2.0
1988,4,0.2,-1.17
1989,4,2.7,0.28
1990,4,0.3,2.0
1991,4,-1.0,0.29
1992,4,-1.7,1.86
1993,4,-1.9,0.97
1994,4,-2.1,1.14
1995,4,-1.1,-0.85
1996,4,1.3,-0.17
1997,4,-1.0,-1.02
1998,4,-2.4,-0.68
1999,4,2.3,-0.95
2000,4,2.0,-0.03
2001,4,0.3,0.0
2002,4,-0.1,1.18
2003,4,-0.2,-0.18
2004,4,-1.5,1.15
2005,4,-1.0,-0.3
2006,4,1.8,1.24
2007,4,-0.2,0.17
2008,4,1.1,-1.07
2009,4,1.3,-0.2
2010,4,2.0,-0.72
2011,4,3.1,2.48
2012,4,-0.4,0.47
2013,4,0.4,0.69
2014,4,1.3,0.31
2015,4,-0.1,0.73
2016,4,-2.0,0.38
2017,4,-0.3,1.73
2018,4,0.8,1.24
2019,4,0.2,0.47
2020,4,0.3,-1.02
2021,4,0.6,-1.43
2022,4,2.8,-0.36
2023,4,0.4,-0.63
2024,4,-0.3,-0.78
2025,4,0.9,0.18
1951,5,-1.1,-0.59
1952,5,1.2,-1.12
1953,5,-2.8,-0.66
1954,5,0.8,-0.09
1955,5,1.7,-0.34
1956,5,2.3,2.21
1957,5,-1.1,-0.79
1958,5,-0.8,-0.24
1959,5,0.8,0.39
1960,5,0.9,0.45
1961,5,0.5,-0.36
1962,5,1.8,-0.1
1963,5,0.6,2.16
1964,5,0.4,0.52
1965,5,0.3,-0.62
1966,5,-0.7,0.22
1967,5,-0.0,-0.99
1968,5,2.1,-1.76
1969,5,-0.4,0.55
1970,5,0.6,1.14
1971,5,1.4,0.5
1972,5,-2.6,0.95
1973,5,0.7,-0.44
1974,5,1.6,-0.24
1975,5,1.1,-0.52
1976,5,0.6,0.96
1977,5,-0.8,-0.86
1978,5,2.2,1.08
1979,5,0.8,-1.03
1980,5,-0.0,-1.5
1981,5,1.3,0.2
1982,5,-0.6,-0.53
1983,5,1.0,-0.07
1984,5,0.3,0.54
1985,5,0.7,-0.49
1986,5,-0.4,0.85
1987,5,-2.1,0.98
1988,5,1.5,0.63
1989,5,2.0,1.38
1990,5,2.0,-1.53
1991,5,-1.7,0.08
1992,5,0.4,2.63
1993,5,-0.6,-0.78
1994,5,-1.1,-0.57
1995,5,-0.6,-1.49
1996,5,0.5,-1.06
1997,5,-2.2,-0.28
1998,5,0.4,-1.32
1999,5,0.4,0.92
2000,5,0.6,1.58
2001,5,-0.8,-0.02
2002,5,-1.4,-0.22
2003,5,-0.5,0.01
2004,5,1.7,0.19
2005,5,-1.3,-1.25
2006,5,-0.8,-1.14
2007,5,-0.2,0.66
2008,5,-0.1,-1.73
2009,5,-0.2,1.68
2010,5,1.5,-1.49
2011,5,0.6,-0.06
2012,5,0.1,-0.91
2013,5,1.3,0.57
2014,5,0.9,-0.92
2015,5,-1.2,0.15
2016,5,0.7,-0.77
2017,5,0.4,-1.91
2018,5,0.6,2.12
2019,5,-0.7,-2.62
2020,5,0.7,-0.41
2021,5,0.8,-1.24
2022,5,2.4,0.71
2023,5,-1.7,0.39
2024,5,0.8,-0.44
2025,5,0.7,0.49
1951,6,0.3,-1.64
1952,6,1.2,-0.4
1953,6,0.2,1.09
1954,6,0.2,-0.25
1955,6,2.2,-1.1
1956,6,1.8,0.1
1957,6,0.3,-0.72
1958,6,0.5,-1.38
1959,6,-0.2,0.4
1960,6,0.2,-0.21
1961,6,0.2,0.86
1962,6,1.2,0.16
1963,6,-0.8,-0.43
1964,6,1.2,1.29
1965,6,-0.9,0.29
1966,6,0.5,1.05
1967,6,1.1,1.4
1968,6,1.8,0.33
1969,6,0.3,0.55
1970,6,1.6,1.55
1971,6,0.7,-1.57
1972,6,-0.9,0.88
1973,6,1.8,0.39
1974,6,0.7,-0.14
1975,6,2.1,-0.84
1976,6,0.4,0.8
1977,6,-1.5,-0.57
1978,6,1.1,1.38
1979,6,1.1,1.6
1980,6,-0.0,-0.37
1981,6,2.0,-0.45
1982,6,-1.7,-1.63
1983,6,0.1,0.99
1984,6,-0.6,-0.42
1985,6,-0.6,-0.8
1986,6,1.6,1.22
1987,6,-1.8,-1.82
1988,6,0.1,0.88
1989,6,1.2,-0.27
1990,6,0.5,-0.02
1991,6,-0.2,-0.82
1992,6,-1.0,0.2
1993,6,-1.4,-0.59
1994,6,-0.7,1.52
1995,6,0.2,0.13
1996,6,1.9,0.56
1997,6,-2.3,-1.47
1998,6,1.6,-2.72
1999,6,0.4,1.12
2000,6,-0.3,-0.03
2001,6,0.5,-0.2
2002,6,-0.4,0.38
2003,6,-1.0,-0.07
2004,6,-1.4,-0.89
2005,6,0.7,-0.05
2006,6,-0.4,0.84
2007,6,0.9,-1.31
2008,6,1.0,-1.39
2009,6,0.2,-1.21
2010,6,0.6,-0.82
2011,6,0.4,-1.28
2012,6,-0.7,-2.53
2013,6,2.0,0.52
2014,6,0.3,-0.97
2015,6,-0.9,-0.07
2016,6,1.1,-0.43
2017,6,-0.7,0.05
2018,6,-0.2,1.09
2019,6,-0.7,-1.09
2020,6,-0.6,-0.15
2021,6,0.7,0.77
2022,6,2.8,-0.12
2023,6,0.4,-0.58
2024,6,0.1,-0.09
2025,6,0.5,0.7
1951,7,-1.7,1.37
1952,7,0.8,-0.09
1953,7,-0.0,0.4
1954,7,0.7,-0.6
1955,7,2.6,1.76
1956,7,1.8,-0.75
1957,7,0.4,-1.19
1958,7,0.7,-1.73
1959,7,-0.4,0.74
1960,7,0.8,0.35
1961,7,0.4,-0.39
1962,7,0.1,-2.47
1963,7,-0.2,-0.77
1964,7,0.9,1.9
1965,7,-3.0,0.32
1966,7,0.1,0.32
1967,7,0.3,0.41
1968,7,1.1,-0.8
1969,7,-0.8,0.57
1970,7,-0.6,0.1
1971,7,0.4,0.24
1972,7,-2.4,0.18
1973,7,1.0,0.57
1974,7,1.9,-0.76
1975,7,3.1,1.55
1976,7,-1.4,-0.32
1977,7,-1.9,-0.45
1978,7,0.9,-1.14
1979,7,2.2,0.83
1980,7,-0.1,-0.42
1981,7,1.4,0.05
1982,7,-2.5,1.15
1983,7,-1.0,1.19
1984,7,0.3,-0.07
1985,7,-0.2,1.22
1986,7,0.5,0.12
1987,7,-2.2,0.52
1988,7,1.7,-0.35
1989,7,1.5,0.97
1990,7,0.9,0.53
1991,7,0.0,-0.49
1992,7,-1.0,0.16
1993,7,-1.3,-3.18
1994,7,-2.2,1.31
1995,7,0.7,-0.22
1996,7,1.1,0.67
1997,7,-1.2,0.34
1998,7,2.0,-0.48
1999,7,0.9,-0.9
2000,7,-0.3,-1.03
2001,7,-0.3,-0.25
2002,7,-0.8,0.62
2003,7,0.5,0.13
2004,7,-0.8,1.13
2005,7,0.3,-0.51
2006,7,-1.0,0.9
2007,7,-0.5,-0.58
2008,7,0.5,-1.27
2009,7,0.4,-2.15
2010,7,3.0,-0.42
2011,7,1.6,-1.51
2012,7,-0.1,-1.32
2013,7,1.3,0.67
2014,7,-0.3,0.18
2015,7,-1.9,-3.18
2016,7,0.7,-1.76
2017,7,1.3,1.26
2018,7,0.4,1.39
2019,7,-0.6,-1.43
2020,7,0.7,-1.23
2021,7,2.3,0.03
2022,7,1.3,-0.09
2023,7,-0.4,-2.17
2024,7,-1.2,1.46
2025,7,1.0,0.48
1951,8,-0.4,-0.22
1952,8,0.1,-0.28
1953,8,-2.0,-0.71
1954,8,1.8,-1.9
1955,8,2.4,1.07
1956,8,2.0,-1.37
1957,8,-0.8,-0.55
1958,8,1.5,-1.56
1959,8,-0.2,0.06
1960,8,1.3,-1.4
1961,8,0.2,0.9
1962,8,1.0,0.14
1963,8,0.0,-0.64
1964,8,2.5,-1.77
1965,8,-1.1,0.45
1966,8,1.1,-1.76
1967,8,1.2,1.44
1968,8,0.4,-0.66
1969,8,-0.2,-1.45
1970,8,1.0,0.1
1971,8,2.5,1.55
1972,8,-0.8,1.32
1973,8,2.1,-0.06
1974,8,1.3,-0.64
1975,8,3.3,-0.26
1976,8,-1.3,1.92
1977,8,-1.3,-0.28
1978,8,0.7,0.64
1979,8,-0.3,0.96
1980,8,0.6,-2.24
1981,8,1.2,0.39
1982,8,-2.9,0.26
1983,8,0.2,1.61
1984,8,0.7,1.15
1985,8,1.6,-0.48
1986,8,-0.6,-1.09
1987,8,-1.5,-0.83
1988,8,2.5,0.04
1989,8,-0.5,0.01
1990,8,-0.3,0.97
1991,8,-0.7,1.23
1992,8,0.6,0.85
1993,8,-1.6,0.12
1994,8,-2.0,0.38
1995,8,0.5,0.69
1996,8,1.2,1.02
1997,8,-2.4,0.83
1998,8,1.9,-0.02
1999,8,0.6,0.39
2000,8,1.2,-0.29
2001,8,-0.7,-0.07
2002,8,-1.6,0.38
2003,8,0.2,-0.07
2004,8,-0.5,-0.48
2005,8,-0.6,0.37
2006,8,-1.7,-1.73
2007,8,0.7,-0.14
2008,8,1.7,-1.16
2009,8,-0.3,-0.19
2010,8,3.0,-1.22
2011,8,0.7,-1.35
2012,8,-0.3,-0.98
2013,8,0.3,0.97
2014,8,-1.2,-1.68
2015,8,-2.4,-0.76
2016,8,1.2,-1.65
2017,8,0.9,-1.1
2018,8,-0.5,1.97
2019,8,-0.2,-1.17
2020,8,1.8,0.12
2021,8,1.0,-0.28
2022,8,1.7,1.47
2023,8,-1.4,-1.16
2024,8,1.5,0.63
2025,8,0.7,0.26
1951,9,-1.8,-1.36
1952,9,-0.4,-0.54
1953,9,-2.1,-0.35
1954,9,0.3,-0.44
1955,9,2.2,0.32
1956,9,0.1,0.24
1957,9,-1.5,-1.66
1958,9,-0.5,-0.07
1959,9,0.0,0.88
1960,9,1.1,0.39
1961,9,0.1,1.24
1962,9,0.7,-0.37
1963,9,-1.0,1.79
1964,9,2.1,0.2
1965,9,-2.2,0.37
1966,9,-0.4,-0.45
1967,9,0.8,0.93
1968,9,-0.4,-1.92
1969,9,-1.6,2.07
1970,9,1.9,-0.09
1971,9,2.3,0.39
1972,9,-2.2,-0.12
1973,9,2.0,-0.3
1974,9,1.8,0.82
1975,9,3.4,1.56
1976,9,-1.9,-1.29
1977,9,-1.3,0.37
1978,9,0.1,0.46
1979,9,0.2,1.01
1980,9,-0.8,0.66
1981,9,0.5,-1.45
1982,9,-2.9,1.76
1983,9,1.4,-1.12
1984,9,0.2,0.17
1985,9,0.0,-0.52
1986,9,-0.8,-1.12
1987,9,-1.7,-1.22
1988,9,3.0,-0.99
1989,9,0.8,2.05
1990,9,-1.2,1.06
1991,9,-2.5,0.48
1992,9,0.1,-0.44
1993,9,-1.2,-0.57
1994,9,-2.6,-1.32
1995,9,0.4,0.31
1996,9,1.0,-0.86
1997,9,-2.4,0.61
1998,9,1.7,-2.0
1999,9,-0.1,0.36
2000,9,1.4,-0.21
2001,9,0.3,-0.65
2002,9,-1.0,-0.7
2003,9,-0.2,0.01
2004,9,-0.6,0.38
2005,9,0.6,0.63
2006,9,-1.0,-1.62
2007,9,0.3,0.72
2008,9,2.0,1.02
2009,9,0.5,1.51
2010,9,3.7,-0.79
2011,9,1.7,0.54
2012,9,0.4,-0.59
2013,9,0.5,0.24
2014,9,-1.2,1.62
2015,9,-2.7,-0.65
2016,9,2.0,0.61
2017,9,1.0,-0.61
2018,9,-1.5,1.67
2019,9,-1.9,-0.16
2020,9,1.5,0.98
2021,9,1.3,-0.21
2022,9,2.7,-1.61
2023,9,-2.1,-0.44
2024,9,-0.2,-1.43
2025,9,0.1,-0.8
1951,10,-1.6,1.87
1952,10,0.6,-0.73
1953,10,0.1,1.32
1954,10,0.4,0.6
1955,10,2.5,-1.47
1956,10,2.9,0.88
1957,10,0.1,1.32
1958,10,0.1,0.16
1959,10,0.8,0.89
1960,10,0.2,-1.73
1961,10,-0.5,0.51
1962,10,1.6,0.41
1963,10,-2.0,0.94
1964,10,2.2,0.74
1965,10,-1.5,0.38
1966,10,-0.2,-0.68
1967,10,0.1,0.07
1968,10,-0.1,-2.3
1969,10,-1.5,0.66
1970,10,1.7,-0.92
1971,10,2.8,0.58
1972,10,-1.5,1.09
1973,10,1.3,-1.24
1974,10,1.5,0.49
1975,10,2.8,-0.54
1976,10,0.7,-0.08
1977,10,-1.7,0.52
1978,10,-0.6,1.93
1979,10,-0.2,-0.3
1980,10,0.0,-1.77
1981,10,-0.6,-1.35
1982,10,-2.8,-0.74
1983,10,0.7,0.65
1984,10,-0.5,-0.07
1985,10,-0.6,0.9
1986,10,1.1,1.55
1987,10,-0.6,0.14
1988,10,2.3,-1.08
1989,10,1.3,-0.03
1990,10,0.4,0.23
1991,10,-1.7,-0.19
1992,10,-2.3,-1.76
1993,10,-1.8,-0.71
1994,10,-1.9,-0.97
1995,10,0.0,0.19
1996,10,1.0,-0.33
1997,10,-2.4,-1.7
1998,10,1.8,-0.29
1999,10,1.6,0.2
2000,10,1.8,0.92
2001,10,-0.1,-0.24
2002,10,-0.6,-2.28
2003,10,0.0,-1.26
2004,10,-0.1,-1.1
2005,10,2.0,-0.98
2006,10,-2.1,-2.24
2007,10,1.2,0.45
2008,10,2.1,-0.04
2009,10,-2.0,-1.03
2010,10,2.9,-0.93
2011,10,1.2,0.39
2012,10,0.5,-2.06
2013,10,-0.1,-1.28
2014,10,-1.0,-1.27
2015,10,-2.8,0.44
2016,10,-0.4,0.41
2017,10,1.5,0.19
2018,10,0.6,0.93
2019,10,-0.6,-1.41
2020,10,0.8,-0.65
2021,10,1.2,-2.29
2022,10,2.8,-0.72
2023,10,-0.8,-2.03
2024,10,0.8,-0.38
2025,10,1.9,-0.96
1951,11,-1.3,-0.39
1952,11,0.0,-1.13
1953,11,-0.5,1.04
1954,11,0.2,0.4
1955,11,2.0,-1.29
1956,11,0.2,0.51
1957,11,-1.6,0.73
1958,11,-0.7,1.64
1959,11,1.5,0.41
1960,11,0.9,-0.51
1961,11,0.9,-0.62
1962,11,0.5,-0.23
1963,11,-1.4,-1.27
1964,11,0.3,-0.01
1965,11,-2.4,-1.66
1966,11,-0.0,-0.04
1967,11,-0.7,0.6
1968,11,-0.6,-0.93
1969,11,-0.1,-0.96
1970,11,2.6,-0.6
1971,11,0.9,-0.2
1972,11,-0.6,0.54
1973,11,4.3,-0.93
1974,11,-0.2,-0.54
1975,11,1.9,0.41
1976,11,1.2,0.17
1977,11,-2.1,-0.07
1978,11,-0.0,3.04
1979,11,-0.7,0.53
1980,11,-0.6,-0.37
1981,11,0.3,-0.38
1982,11,-4.3,1.6
1983,11,-0.2,-0.98
1984,11,0.4,-0.06
1985,11,-0.3,-0.67
1986,11,-2.0,2.29
1987,11,-0.0,0.18
1988,11,2.8,-0.34
1989,11,-0.4,0.16
1990,11,-0.8,-0.24
1991,11,-1.1,0.48
1992,11,-1.1,1.19
1993,11,-0.1,2.56
1994,11,-0.9,0.64
1995,11,0.1,-1.38
1996,11,-0.1,-0.56
1997,11,-2.0,-0.9
1998,11,1.7,-0.28
1999,11,1.7,0.65
2000,11,3.0,-0.92
2001,11,1.1,0.63
2002,11,-0.7,-0.18
2003,11,-0.5,0.86
2004,11,-1.1,0.73
2005,11,-0.3,-0.31
2006,11,0.1,0.44
2007,11,1.4,0.58
2008,11,2.2,-0.32
2009,11,-1.0,-0.02
2010,11,2.1,-1.62
2011,11,1.8,1.36
2012,11,0.4,-0.58
2013,11,1.2,0.9
2014,11,-1.5,0.68
2015,11,-0.8,1.74
2016,11,-0.2,-0.16
2017,11,1.5,-0.0
2018,11,-0.1,-0.11
2019,11,-1.4,0.28
2020,11,1.1,2.54
2021,11,1.6,-0.18
2022,11,0.5,0.69
2023,11,-1.3,-0.32
2024,11,0.8,-0.23
2025,11,1.8,-0.78
1951,12,-1.2,1.32
1952,12,-2.0,-0.43
1953,12,-0.8,-0.47
1954,12,2.3,0.69
1955,12,1.6,0.17
1956,12,1.8,0.1
1957,12,-0.5,0.12
1958,12,-1.0,-0.7
1959,12,1.5,0.44
1960,12,1.3,0.06
1961,12,2.5,-1.48
1962,12,0.3,-1.32
1963,12,-2.0,-1.92
1964,12,-0.5,-0.15
1965,12,0.3,1.37
1966,12,-0.6,0.72
1967,12,-0.9,-0.45
1968,12,0.3,-1.4
1969,12,0.7,-0.28
1970,12,3.2,-1.2
1971,12,0.4,0.6
1972,12,-2.1,0.19
1973,12,3.0,0.32
1974,12,0.3,1.5
1975,12,3.5,0.0
1976,12,-0.6,-1.6
1977,12,-1.7,-1.0
1978,12,-0.1,-1.57
1979,12,-1.2,1.0
1980,12,-0.1,0.78
1981,12,0.8,-0.02
1982,12,-3.7,1.78
1983,12,0.0,0.29
1984,12,-0.2,0.0
1985,12,0.4,0.22
1986,12,-2.4,0.99
1987,12,-0.8,0.32
1988,12,2.0,0.61
1989,12,-0.9,-1.15
1990,12,-0.4,0.22
1991,12,-2.9,0.46
1992,12,-0.9,0.47
1993,12,0.3,1.56
1994,12,-2.0,2.02
1995,12,-0.8,-1.67
1996,12,1.5,-1.41
1997,12,-1.6,-0.96
1998,12,2.3,0.87
1999,12,2.4,1.61
2000,12,1.3,-0.58
2001,12,-1.4,-0.83
2002,12,-1.8,-0.94
2003,12,1.8,0.64
2004,12,-1.3,1.21
2005,12,-0.0,-0.44
2006,12,-0.5,1.34
2007,12,2.7,0.34
2008,12,2.4,-0.28
2009,12,-1.2,-1.93
2010,12,4.8,-1.85
2011,12,4.1,2.52
2012,12,-1.0,0.17
2013,12,0.1,0.95
2014,12,-0.9,1.86
2015,12,-0.9,2.24
2016,12,0.5,0.48
2017,12,-0.2,0.88
2018,12,1.7,0.61
2019,12,-0.9,1.2
2020,12,3.0,-0.3
2021,12,2.5,0.29
2022,12,3.5,-0.15
2023,12,-0.4,1.94
2024,12,1.9,1.21
2025,12,-0.0,-0.65
